SMZ,State,Percent TEA,Percent PFA,Old METRO,New METRO,Balt METRO,New Balt,Existing Light Rail,New Light Rail,Existing Commuter Rail,New Commuter Rail,New Interchanges,Accessibility,Town,Town_adjacent
334,24,0,99.99412879,0,0,1,0,0,0,0,0,0,529.021031,0,0
335,24,0.062315272,44.04708472,0,0,0,0,0,0,0,0,0,1.966967,0,0
336,24,0,99.90766007,0,0,0,0,0,0,0,0,0,51.561709,0,0
337,24,0,100.0000002,0,0,0,0,0,0,0,0,0,41.78708,0,0
338,24,0,99.99999884,0,0,0,1,0,0,0,0,0,4.160892,0,0
339,24,0,100.0000004,0,0,0,0,0,0,0,0,0,5.86387,0,0
340,24,0,99.99999922,0,0,0,0,0,0,0,0,0,60.811598,0,0
341,24,0,100.0000012,0,0,0,0,0,0,0,0,0,0,0,0
342,24,0,99.99999766,0,0,0,0,0,0,0,0,0,9.425684,0,0
343,24,0,100.0000006,0,0,0,0,0,0,0,0,0,25.961926,0,0
344,24,0,100.0000007,0,0,0,0,0,0,0,0,0,133.089814,0,0
345,24,0,99.99999807,0,0,0,0,0,0,0,0,0,65.875607,0,0
346,24,0,100,0,0,0,1,0,0,0,0,0,1.107539,0,0
347,24,0,89.81726653,0,0,0,1,0,0,0,0,0,0,0,0
348,24,0,18.33779993,0,0,0,0,0,0,0,0,0,0,0,0
349,24,0,33.71712996,0,0,0,0,0,0,0,0,0,0.075237,0,0
350,24,0,42.12000909,0,0,0,0,0,0,0,0,0,0,0,0
351,24,0,99.99999993,0,0,0,0,0,0,0,0,0,138.698266,0,0
352,24,0,99.99999913,0,0,0,0,0,1,0,0,0,1833.588811,0,0
353,24,0,99.99946907,0,0,0,0,0,0,0,0,0,24.687196,0,0
354,24,0,99.99999811,0,0,0,0,0,0,0,0,0,20186.86938,0,0
