"","inf.cap","access.beta","operating.cost","dist.to.wrk","val.of.access","tr.times","policy","core.hh","inner.hh","outer.hh","beyond.hh","env.area.hh","high.access.hh","cost.burdened.hh","median.hh.price"
"83",0.0458670985938516,0.746502777794842,0.618492889342364,0.966748647604603,0.784172989531653,1,"baseline",870169,2352964,610908,1875875,353143,306679,1183425,715
"84",0.916187481858535,0.327192480468191,0.724960987518774,0.279162259204546,0.813256354796467,0,"baseline",828133,2421129,598652,1879064,363093,294396,1172807,712
"85",0.0646442246988881,0.959195523945848,0.0895320522899274,0.827332028255565,0.62357664325228,1,"baseline",869808,2361481,606494,1869266,352353,306667,1178826,712
"86",0.240240820003441,0.206903658594238,0.652579932026798,0.553485176243354,0.471758645685855,0,"baseline",837825,2354685,615417,1906014,359042,294915,1180975,712
"87",0.214624549880158,0.899773320157779,0.0373989768391475,0.758211599883856,0.6986428248554,0,"baseline",836839,2341362,624783,1916456,360758,295115,1182442,707
"88",0.0917467471908312,0.568137942780275,0.870521913993405,0.504126260796562,0.789584217583761,0,"baseline",844527,2346934,616184,1905028,357782,298066,1180718,716
"89",0.915856568102958,0.535572568369796,0.699676285631256,0.395490157919936,0.494956374779809,1,"baseline",858569,2437609,579776,1833688,355099,305070,1163022,716
"90",0.724569067002507,0.925629186525242,0.054324422713602,0.978843125558225,0.83692446735804,1,"baseline",861587,2399482,609488,1858020,358339,305527,1178311,721
"91",0.256541951513384,0.216560466232011,0.17782665389264,0.76502423289814,0.932573185651097,1,"baseline",881780,2377485,602387,1852887,352792,312248,1180339,712
"92",0.691203707105946,0.742178492074832,0.376890970079228,0.243461747616995,0.680439953953959,1,"baseline",865971,2419027,574412,1835574,352932,308172,1156080,711
"93",0.581623099577148,0.942618024655385,0.589147030620603,0.361297670760425,0.280764826653292,1,"baseline",858811,2409992,581766,1842964,353564,303366,1164906,724
"94",0.701934046472423,0.933608928788919,0.695731380236335,0.940165500588715,0.172762510083383,0,"baseline",817478,2366633,626910,1918957,364132,288234,1174501,674
"95",0.408408464157488,0.092571049814811,0.157487302815774,0.17261537131737,0.933270613580476,1,"baseline",884046,2395588,575624,1837134,350069,315077,1164742,712
"96",0.268546736598713,0.0511664804194588,0.0819757822898682,0.591488464125432,0.448164895922411,0,"baseline",838673,2354501,616896,1909027,360109,295227,1183086,712
"97",0.99410122592235,0.58114145143074,0.577409506844822,0.640637579663424,0.817023991908412,1,"baseline",862552,2437615,589154,1835046,357893,307575,1170252,709
"98",0.55172252237564,0.635431406901916,0.110102320450125,0.657383724311367,0.0165081688361242,0,"baseline",818564,2371363,617184,1911630,362500,287791,1174319,687
"99",0.862172515054233,0.336411972422618,0.293416185354348,0.969457633456215,0.182036033835961,0,"baseline",817930,2376832,626349,1914928,366104,288627,1171013,672
"100",0.35497913970123,0.871885292379186,0.264993487864733,0.309375315319747,0.664346928841202,0,"baseline",833095,2378115,603890,1895451,358123,294717,1172584,709
"101",0.2535910448879,0.868079745317809,0.933845018567517,0.135029784372309,0.851814659719588,1,"TOD",810579,2387051,625607,1917761,367852,289513,1166616,664
"102",0.180666557763238,0.0196185861653648,0.404448763228487,0.711806599612581,0.147870606883429,1,"TOD",860985,2385836,599165,1859767,352698,304624,1174617,708
"103",0.819352131931111,0.311121898651123,0.893990613096161,0.94193572971574,0.234939029850531,0,"TOD",815747,2383786,624787,1919823,369272,290786,1173445,667
"104",0.2303882153132,0.00803262790781446,0.700396214288892,0.764958923527505,0.407522330810083,0,"TOD",834394,2347647,624039,1916289,361573,295886,1179186,699
"105",0.351505596571369,0.381752790449653,0.757451706958236,0.715764616576023,0.392562582415761,1,"TOD",861280,2396981,598474,1853989,353573,306792,1172009,702
"106",0.743340490213362,0.182697492228821,0.81053955330071,0.56487891858723,0.220075655993307,0,"TOD",821036,2398323,610915,1897757,365102,292554,1172020,696
"107",0.74502532318118,0.78720694839349,0.251633805076359,0.268906062740367,0.0804958958087955,1,"TOD",846797,2452647,573502,1836343,353338,301558,1156820,691
"108",0.620019743031589,0.391619844788453,0.374568540341221,0.999151367743965,0.447051492011175,1,"TOD",853110,2397822,609500,1863773,358653,303802,1174307,712
"109",0.491244874295779,0.0657893108394928,0.219173625290161,0.00796941964305006,0.518491235287394,0,"TOD",820518,2416578,591627,1884261,357998,292004,1163548,689
"110",0.32883438797947,0.566056099698879,0.840084199885372,0.170932648471091,0.660958229623735,0,"TOD",830119,2393187,597889,1889207,357010,295801,1170416,697
"111",0.0474004591845442,0.65321773068374,0.965748647225788,0.820654516799143,0.488520452808356,0,"TOD",836128,2332129,627332,1920226,358902,296593,1182651,709
"112",0.52152006751881,0.413167008537566,0.876540531192441,0.681377766134683,0.982878823065432,0,"TOD",840870,2374598,618115,1897652,362655,301559,1180279,713
"113",0.490300158853177,0.37835370370117,0.196463118393207,0.29554933980573,0.649478740701219,1,"TOD",867436,2430612,576894,1836075,351588,310949,1163493,696
"114",0.525970993318362,0.743637045002542,0.507943196493201,0.446520417002263,0.370831536641112,0,"TOD",824431,2390334,609065,1897865,361956,293541,1174341,705
"115",0.845175701659173,0.432828263339587,0.81362406208925,0.312774401322938,0.542766679633409,0,"TOD",822430,2422310,598908,1881710,362977,294353,1169161,701
"116",0.942286060617073,0.872076480397489,0.300085476138163,0.491566956377123,0.0984949946149718,0,"TOD",811513,2418786,606462,1891118,364743,289214,1165373,686
"117",0.761514006906189,0.44403975378233,0.297427569730673,0.873056900428608,0.746386792527745,1,"TOD",861440,2416676,601830,1848134,358417,309360,1177428,714
"118",0.378152237558505,0.203300665296614,0.781382387496764,0.284199468548875,0.828843204752309,1,"TOD",878927,2420824,576738,1834082,349479,315528,1170015,695
"119",0.0146833212312777,0.265550555258291,0.180120808805805,0.151730977173662,0.917404349791585,0,"TOD",843404,2370678,600359,1893647,355194,300964,1176550,712
"120",0.516893006556435,0.330933463417925,0.175820432700217,0.795458051449852,0.400898484825855,0,"TOD",827959,2366665,621259,1911478,363655,294951,1177435,689
"121",0.621700347830774,0.225071553325746,0.557519886878086,0.154695381519618,0.749719801156316,0,"TOD",829074,2415539,594842,1881093,359249,296621,1170279,692
"122",0.353994463213254,0.238379887037678,0.260957237668801,0.490584166054614,0.376321007711114,1,"TOD",865394,2411881,585984,1845282,352156,308166,1169322,702
"123",0.350134987444384,0.642732696560677,0.450273812341737,0.807976882553427,0.661372449159622,0,"TOD",832341,2353228,622832,1917483,363414,296575,1180059,695
"124",0.574217547838576,0.894888294565957,0.913959741576109,0.431181900812546,0.0379669088535011,1,"TOD",850276,2433572,581386,1842130,353328,302500,1163579,693
"125",0.464115949960425,0.576052591406042,0.548447265118361,0.863293712766375,0.802399085849756,1,"TOD",867537,2394221,603408,1853809,354978,310735,1180081,714
"126",0.270984369464917,0.770001910712337,0.928493666440714,0.377360887944931,0.0662638747605961,1,"TOD",858117,2411704,582512,1845210,350145,304912,1168704,706
"127",0.194855214308016,0.117557596645551,0.754174281557556,0.13618158657942,0.338163597623585,1,"TOD",865477,2405095,573823,1843596,347991,308733,1160277,699
"128",0.30091780299833,0.125425121857785,0.318505234141834,0.828782588947797,0.856734260602389,0,"TOD",844099,2347466,624825,1910815,361526,301748,1183591,705
"129",0.834957628969802,0.470677803740138,0.917412508244626,0.642415420495439,0.187103356841486,1,"TOD",848195,2437263,590956,1843229,357484,302427,1166670,703
"130",0.571591654536082,0.0939046272437554,0.74730753786955,0.543675971989753,0.745735802229959,1,"TOD",872583,2421156,586674,1835554,353944,313048,1172145,700
"131",0.087604003484128,0.185470313088736,0.672154890748905,0.506003701341571,0.758926947171334,0,"TOD",847251,2351430,615516,1902292,357648,302014,1182673,708
"132",0.576226437513949,0.675862200560514,0.292363490638323,0.459489985575667,0.699947236634092,1,"TOD",864453,2430096,583047,1834961,352922,309826,1166852,699
"133",0.0779084828298073,0.979134245492052,0.937297349142842,0.278226792799775,0.655155072540976,0,"TOD",834030,2369261,604042,1900118,355618,296672,1176372,707
